srn,facility_name,address_full,epa_class,lat,long,geometry,facility_name_title
P1275,CARMEUSE LIME AND STONE,"3715 N. Chandler Rd, Duplain, MI 48879",MINOR,43.0413624,-84.4850313,"[-84.4850313000823, 43.0413624]",Carmeuse Lime and Stone
P1280,MEG'S HAULING,"67401 Brian Drive, Ray Twp, MI 48096",MINOR,42.79419781,-82.96885784,"[-82.9688578442707, 42.79419781]",Meg's Hauling
P1297,TITAN CONCRETE,"6497 East 10 Mile Rd, Center Line, MI 48015",MINOR,42.47869031,-83.03790967,"[-83.0379096745411, 42.47869031]",Titan Concrete
P1291,BANDIT INDUSTRIES INC,"3372 Walton Rd, Mt Pleasant, MI 48858",MINOR,43.54848997,-84.9130767,"[-84.9130766999172, 43.54848997 ]",Bandit Industries Inc
P1310,KENT QUALITY FOODS,"3426 Quincy St, Hudsonville, MI 49426",MINOR,42.84004908,-85.86787222,"[-85.8678722191423, 42.84004908]",Kent Quality Foods
P1316,SANDMAN TRUCKING,"3033 Eckert, Freeport, MI 49325",,42.76165776,-85.34947926,"[-85.34947925776262, 42.76165776]",Sandman Trucking
P1345,GEORGE P JOHNSON,"1914 Taylor Point, Auburn Hills, MI 48326",MINOR,42.69372337,-83.2561194,"[-83.2561194038008, 42.69372336834368]",George P Johnson
P1373,PORTERCORP,"4240 N 136th Ave, Holland, MI 49424",MINOR,42.84536216,-86.11556126,"[-86.1155612559058, 42.84536216341887]",Portercorp
P1383,BULK GUYS LLC,"2530 Vicksburg St, Marysville, MI 48040",MINOR,42.88337038,-82.4815711,"[-82.48157110008665, 42.88337037732861]",Bulk Guys LLC
M4159,HENRY FORD HEALTH,"1150 Elijah Mccoy, Detroit, MI 48202",,42.3612035,-83.080596,"[-83.080596, 42.36120349999999]",Henry Ford Health
N5893,ROMAN MANUFACTURING,"861 47Th Street SW, Grand Rapids, MI 49509",,42.8796488,-85.6863253,"[-85.6863253, 42.8796488]",Roman Manufacturing
P1304,HOLCIM-ACM MANAGEMENT INC,"6000 W G Avenue, Kalamazoo, MI 49009",,42.3360087,-85.6722744,"[-85.67227439999999, 42.3360087]",Holcim-Acm Management Inc
P1307,"DIPSOL OF AMERICAN, INC","34005 Schoolcraft, Livonia, MI 48150",,42.3815834,-83.378772,"[-83.378772, 42.3815834]","Dipsol of American, Inc"
P1308,AMERICAN CLASSIC DUMSTER SERVICE INC.,"2031 22 Mile Road, Kent City, MI 49330",,43.2956779,-85.7484868,"[-85.7484868, 43.2956779]",American Classic Dumster Service Inc.
P1309,"SHANNON PRECISION FASTENER, LLC","6160 Stony Run Drive, Holly, MI 48442",,42.861722,-83.587152,"[-83.587152, 42.861722]","Shannon Precision Fastener, LLC"
P1311,GREAT LAKES CRUSHING,"9369 E Blanchard, Shepherd, MI 48883",,43.5245593,-84.6593961,"[-84.65939610000001, 43.5245593]",Great Lakes Crushing
P1312,MICHIGAN REAGG INC,"2420 N Grand River, Lansing, MI 48906",,42.7593105,-84.5646765,"[-84.56467649999999, 42.75931050000001]",Michigan Reagg Inc
P1314,"WILLIAM M. KIRSHNER, JR.","West 3618 Labelle, Powers, MI 49874",,45.6899654,-87.5259595,"[-87.5259595, 45.6899654]","William M. Kirshner, Jr."
P1315,RIVERSIDE - WILDCARD - NORTH HARDWOOD BOOSTER,"E1/2, NE1/4, NW1/4, Sec., Atlanta, MI 49709",,45.099693,-84.0646583,"[-84.0646583, 45.099693]",Riverside - Wildcard - North Hardwood Booster
