facility_name,name_url,county,epa_class_simple,srn,violation_count,most_recent_vn
"DETROIT RENEWABLE POWER, LLC","<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=M4148' target='_blank'>DETROIT RENEWABLE POWER, LLC</a>",Wayne,Major ,M4148,35.0,2019-08-29
"ARBOR HILLS LANDFILL, INC.","<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N2688' target='_blank'>ARBOR HILLS LANDFILL, INC.</a>",Washtenaw,Major ,N2688,31.0,2022-12-08
CLEVELAND-CLIFFS STEEL CORPORATION DEARBORN WORKS,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=A8640' target='_blank'>CLEVELAND-CLIFFS STEEL CORPORATION DEARBORN WORKS</a>,Wayne,Megasite,A8640,18.0,2023-01-19
"EQ DETROIT, INC. (DBA US ECOLOGY - DETROIT SOUTH)","<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=M4545' target='_blank'>EQ DETROIT, INC. (DBA US ECOLOGY - DETROIT SOUTH)</a>",Wayne,Synthetic Minor ,M4545,17.0,2023-02-10
INDUSTRIAL METAL COATINGS INC,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N5145' target='_blank'>INDUSTRIAL METAL COATINGS INC</a>,Macomb,True Minor ,N5145,14.0,2023-09-07
MICHIGAN SUGAR COMPANY - BAY CITY,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=B1493' target='_blank'>MICHIGAN SUGAR COMPANY - BAY CITY</a>,Bay,Major ,B1493,14.0,2023-06-26
HOLCIM (US) INC. DBA LAFARGE ALPENA PLANT,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=B1477' target='_blank'>HOLCIM (US) INC. DBA LAFARGE ALPENA PLANT</a>,Alpena,Major ,B1477,12.0,2023-07-20
EDW C LEVY CO PLANT 6,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=B4243' target='_blank'>EDW C LEVY CO PLANT 6</a>,Wayne,Major ,B4243,12.0,2023-07-31
MARATHON PETROLEUM COMPANY LP,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=A9831' target='_blank'>MARATHON PETROLEUM COMPANY LP</a>,Wayne,Megasite,A9831,11.0,2023-03-15
DOW SILICONES CORPORATION,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=A4043' target='_blank'>DOW SILICONES CORPORATION</a>,Midland,Megasite,A4043,11.0,2021-12-14
"MICHIGAN SUGAR COMPANY, CARO FACTORY","<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=B2875' target='_blank'>MICHIGAN SUGAR COMPANY, CARO FACTORY</a>",Tuscola,Major ,B2875,9.0,2023-08-21
FCA US LLC - JEFFERSON NORTH ASSEMBLY PLANT,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N2155' target='_blank'>FCA US LLC - JEFFERSON NORTH ASSEMBLY PLANT</a>,Wayne,Major ,N2155,9.0,2023-05-11
"DICASTAL NORTH AMERICA, INC.","<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N7688' target='_blank'>DICASTAL NORTH AMERICA, INC.</a>",Montcalm,Synthetic Minor ,N7688,9.0,2023-08-23
GREDE LLC - IRON MOUNTAIN,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=B1577' target='_blank'>GREDE LLC - IRON MOUNTAIN</a>,Dickinson,Major ,B1577,8.0,2021-12-17
RIVERVIEW LAND PRESERVE,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=M4469' target='_blank'>RIVERVIEW LAND PRESERVE</a>,Wayne,Major ,M4469,8.0,2023-09-07
U S STEEL GREAT LAKES WORKS,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=A7809' target='_blank'>U S STEEL GREAT LAKES WORKS</a>,Wayne,Megasite,A7809,8.0,2022-02-14
DECORATIVE PANELS INTERNATIONAL,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=B1476' target='_blank'>DECORATIVE PANELS INTERNATIONAL</a>,Alpena,Major ,B1476,8.0,2023-06-01
HASTINGS MANUFACTURING COMPANY,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=A0171' target='_blank'>HASTINGS MANUFACTURING COMPANY</a>,Barry,True Minor ,A0171,8.0,2022-05-04
"CRIMSON HOLDINGS, LLC","<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=E8117' target='_blank'>CRIMSON HOLDINGS, LLC</a>",Lenawee,True Minor ,E8117,8.0,2023-06-22
"MICHIGAN SUGAR COMPANY, CROSWELL FACTORY","<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=B2876' target='_blank'>MICHIGAN SUGAR COMPANY, CROSWELL FACTORY</a>",Sanilac,Major ,B2876,7.0,2023-03-14
"GREAT LAKES CREMATION, INC.","<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N8339' target='_blank'>GREAT LAKES CREMATION, INC.</a>",Oakland,True Minor ,N8339,7.0,2022-12-08
ST MARYS CEMENT CHARLEVOIX PLANT,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=B1559' target='_blank'>ST MARYS CEMENT CHARLEVOIX PLANT</a>,Charlevoix,Major ,B1559,7.0,2022-11-15
"LUKAZCEK EXCAVATING AND DRAINAGE, LLC.","<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=P0820' target='_blank'>LUKAZCEK EXCAVATING AND DRAINAGE, LLC.</a>",Branch,True Minor ,P0820,7.0,2022-05-23
"CITIZENS DISPOSAL, INC.","<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N5991' target='_blank'>CITIZENS DISPOSAL, INC.</a>",Genesee,Major ,N5991,7.0,2022-10-04
"BREMBO NORTH AMERICA, INC.","<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N6226' target='_blank'>BREMBO NORTH AMERICA, INC.</a>",Calhoun,Major ,N6226,7.0,2022-10-04
"GENERATE FREMONT DIGESTER, LLC","<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N8210' target='_blank'>GENERATE FREMONT DIGESTER, LLC</a>",Newaygo,Synthetic Minor ,N8210,7.0,2021-10-04
GERDAU MACSTEEL MONROE MILL,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=B7061' target='_blank'>GERDAU MACSTEEL MONROE MILL</a>,Monroe,Major ,B7061,7.0,2022-07-27
ROGERS PRINTING INC,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=A4216' target='_blank'>ROGERS PRINTING INC</a>,Muskegon,Synthetic Minor ,A4216,7.0,2023-07-05
