facility_name,srn,epa_class,properties.address_full,lat,long,geometry.coordinates,properties.violationCount,2018,2019,2020,2021,2022,2023,type,geometry.type,properties.group_id,properties.group_name,properties.color,properties.most_recent_vn,properties.violation_article,properties.facility_name,properties.srn
DRAYTON IRON AND METAL CO,B5465,MINOR,"5229 Williams Lake Rd, Drayton Plns, MI 48020",42.6887432,-83.3919172,"[-83.3919172,42.6887432]",4,0.0,1.0,1.0,0.0,1.0,1.0,Feature,Point,4,True Minor Source,#FFBD00,2023-08-01,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/B5465/B5465_VN_20230801.pdf' target='_blank'>August 1, 2023</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Facility conducted torch cutting of metal outside with no emissions control.</li><li>Facility failed to perform a visible emissions reading from EUPROCESS within 180 days of commencing trial operation under PTI No. 398- 75A. This is required by NSPS Subpart OOO and PTI No. 398-75A.</li><li>Facility failed to keep monthly and 12-month rolling records of the amount of material processed.</li><li>Facility failed to maintain records of all watering/dust suppressant applications to the facility grounds in a satisfactory manner.</li><li>Facility failed to maintain records of all watering/dust suppressant applications to the storage piles in a satisfactory manner.</li><li>Facility processed more than 25,000 tons of material during multiple 12-month periods based on the records submitted and information provided.</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/B5465/B5465_VN_20220714.pdf' target='_blank'>July 14, 2022</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Facility failed to perform a visible emissions reading from EUPROCESS within 180 days of commencing trial operation under PTI No. 398-75A. This is required by NSPS Subpart OOO and PTI No. 398-75A.</li><li>Facility failed to maintain records of monthly checks on the wet suppression system. This is required by NSPS Subpart OOO</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/B5465/B5465_VN_20200922.pdf' target='_blank'>September 22, 2020</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Modification to crusher feedstock was made without a permit modification.</li><li>No initial performance test has been performed on equipment affected by Subpart OOO.</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/B5465/B5465_VN_20190619.pdf' target='_blank'>June 19, 2019</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Torch cutting emissions are not released to the general in-plant environment or through an appropriately designed and operated enclosure and fabric filter.</li></ul></p><br>",Drayton Iron and Metal Co,B5465
EDW C LEVY CO PLANT 6,B4243,MAJOR,"13800 Mellon Ave, Detroit, MI 48217",42.2903932,-83.15779460000002,"[-83.15779460000002,42.2903932]",12,1.0,3.0,3.0,1.0,2.0,3.0,Feature,Point,2,Major Source,#FF0037,2023-07-31,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/B4243/B4243_VN_20230731.pdf' target='_blank'>July 31, 2023</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Detection of fallout beyond the facility's property line, attributable to the facility, of sufficient magnitude as to constitute an unreasonable interference with the comfortable enjoyment of life and property.</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/B4243/B4243_VN_20230728.pdf' target='_blank'>July 28, 2023</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Detection of fallout beyond the facility's property line, attributable to the facility, of sufficient magnitude as to constitute an unreasonable interference with the comfortable enjoyment of life and property.</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/B4243/B4243_VN_20221013.pdf' target='_blank'>October 13, 2022</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Detection of fallout beyond the facility's property line, attributable to the facility, of sufficient magnitude as to constitute an unreasonable interference with the comfortable enjoyment of life and property.</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/B4243/B4243_VN_20220812.pdf' target='_blank'>August 12, 2022</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Detection of fallout beyond the facility's property line, attributable to the facility, of sufficient magnitude as to constitute an unreasonable interference with the comfortable enjoyment of life and property.</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/B4243/B4243_VN_20211118.pdf' target='_blank'>November 18, 2021</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Detection of fallout beyond the facility's property line, attributable to the facility, of sufficient magnitude as to constitute an unreasonable interference with the comfortable enjoyment of life and property.</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/B4243/B4243_VN1_20201221.pdf' target='_blank'>December 21, 2020</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Detection of fallout beyond the facility's property line, attributable to the facility, of sufficient magnitude as to constitute an unreasonable interference with the comfortable enjoyment of life and property.</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/B4243/B4243_VN2_20201221.pdf' target='_blank'>December 21, 2020</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Detection of fallout beyond the facility's property line, attributable to the facility, of sufficient magnitude as to constitute an unreasonable interference with the comfortable enjoyment of life and property.</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/B4243/B4243_VN3_20201221.pdf' target='_blank'>December 21, 2020</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Detection of fallout beyond the facility's property line, attributable to the facility, of sufficient magnitude as to constitute an unreasonable interference with the comfortable enjoyment of life and property.</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/B4243/B4243_VN_20191119.pdf' target='_blank'>November 19, 2019</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Exceedance of the 400 tons per hour raw material throughput limit on May 21, 2018</li><li>Failure to comply with the minimum moisture content requirement for the 3X product throughout 2018</li><li>Failure to quench dumped slag with water before digging</li><li>Failure to document that water sprays were not working and the reason for the failure during the required weekly inspections of the water spray systems on the slag pit dumping areas</li><li>Failure to submit quarterly reports indicating that an operational requirement (Le.spray water on the slag pits before digging) was not met</li><li>Failure by the Responsible Official to report deviations of the above violations in the semi annual and/or annual deviation reports for CY2018 which should have been reported based on reasonable inquiry</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/B4243/B4243_VN_20190912.pdf' target='_blank'>September 12, 2019</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Detection of fallout beyond the facility's property line, attributable to the facility, of sufficient magnitude as to constitute an unreasonable interference with the comfortable enjoyment of life and property.</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/B4243/B4243_VN_20190716.pdf' target='_blank'>July 16, 2019</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Detection of fallout beyond the facility's property line, attributable to the facility, of sufficient magnitude as to constitute an unreasonable interference with the comfortable enjoyment of life and property.</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/B4243/B4243_VN_20181121.pdf' target='_blank'>November 21, 2018</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>On September 23, 2018, detection of fallout beyond the facility's property line, attributable to the facility, of sufficient magnitude as to constitute an unreasonable interference with the comfortable enjoyment of life and property.</li></ul></p><br>",Edw C Levy Co Plant 6,B4243
KAWASAKI MOTORS CORP USA,P0677,MAJOR,"5080 36th Street SE, Grand Rapids, MI 49152",42.8972229,-85.54206889999999,"[-85.54206889999999,42.8972229]",4,0.0,1.0,0.0,0.0,1.0,2.0,Feature,Point,2,Major Source,#FF0037,2023-07-31,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/P0677/P0677_VN_20230731.pdf' target='_blank'>July 31, 2023</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Failure to maintain 12- month rolling total emissions records.</li><li>Failure to maintain continuous temperature records of the PCO.</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/P0677/P0677_VN_20230329.pdf' target='_blank'>March 29, 2023</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>At this time, the AQD has not received Kawasaki Motors Corp., USA's semi-annual monitoring and deviation report for July 1 - December 30, 2022 and the annual compliance certification for 2022, which were required to be postmarked or received by the AQD district office by March 15, 2023.</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/P0677/P0677_VN_20220414.pdf' target='_blank'>April 14, 2022</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>The AQD has not received Kawasaki Motors Corp., USA’s semi-annual monitoring and deviation report for July 1 - December 30, 2021 and the annual compliance certification for 2021, which were required to be postmarked or received by the AQD district office by March 15, 2022</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/P0677/P0677_VN_20191008.pdf' target='_blank'>October 8, 2019</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>At this time, the AQD has not received Kawasaki Motors Corp., USA's semi-annual monitoring and deviation report for January 1 - June 30, 2019, which was required to be postmarked or received by the AQD District Office by September 15, 2019.</li></ul></p><br>",Kawasaki Motors Corp USA,P0677
MERIDIAN BRICK,A6497,MAJOR,"3820 E. Serr Rd., Corunna, MI 48817",42.9940353,-84.0770165,"[-84.0770165,42.9940353]",1,0.0,0.0,0.0,0.0,0.0,1.0,Feature,Point,2,Major Source,#FF0037,2023-07-28,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/A6497/A6497_VN_20230728.pdf' target='_blank'>July 28, 2023</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>90 recorded instances where the lime feed rate was not maintained at a rate 2.5 times, that of the stoichiometric ratio, calculated according to Appendix 7 between August 2022 and February 2023.</li><li>Failure to identify and report the 82 deviations where the lime feed rate was not maintained at a rate 2.5 times, that of the stoichiometric ratio during the July – December 2022 semi-annual reporting period.</li><li>Failure to identify and report the 82 deviations where the lime feed rate was not maintained at a rate 2.5 times, that of the stoichiometric ratio during the January – December 2022 annual reporting period.</li><li>Failure to identify and report the 82 lime feed rate CAM excursions, that occurred from August – December 2022</li><li>Failure to record the lime feed rate every 2 hours for 8 instances occurring between October and November 2022.</li><li>Failure to identify and report the missing lime feed rate records for October and November 2022, as deviations for the semi-annual period of July – December 2022.</li><li>Failure to identify and report the missing lime feed rate records for October and November 2022, as deviations for the annual period of January – December 2022.</li><li>The fabric filter baghouse was not operated in a satisfactory manner from May 20 – May 27, 2021, (baghouse pressure drop exceeded the upper limit of 6” w.c.).</li><li>The pressure drop on the fabric filter baghouse exceeded the upper limit of 6” w.c. for 8 days in a row, and was therefore,</li></ul></p><br>",Meridian Brick,A6497
SHELBY CABINETS,N7999,SM OPT OUT,"4651 25 Mile Rd, Shelby Twp, MI 48316",42.6979925,-83.0681003,"[-83.0681003,42.6979925]",3,0.0,0.0,0.0,1.0,1.0,1.0,Feature,Point,3,Synthetic Minor Source,#FF5400,2023-07-28,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/N7999/N7999_VN_20230728.pdf' target='_blank'>July 28, 2023</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>The facility operates two spray booths exhausting to two stacks. The facility is permitted for one spray booth exhausting through one stack.</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/N7999/N7999_VN_20221003.pdf' target='_blank'>October 3, 2022</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Application of coating WS2VB6 exceeds the permitted material limit of 6.10 lb/gallon VOC less exempt solvents. Environmental Data Sheets (EDSs) provided by the facility show that WS2VB6 has a VOC content of 7.07 lb/gallon less exempt solvents.</li><li>The facility uses hot melt adhesive for cabinet assembly. The facility performs this operation without a permit.</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/N7999/N7999_VN_20210616.pdf' target='_blank'>June 16, 2021</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Improper recordkeeping of monthly and monthly 12-month rolling totals for VOC and Acetone emissions.</li><li>Improper recordkeeping of monthly and monthly 12-month rolling totals for individual and aggregate HAP’s emissions.</li></ul></p><br>",Shelby Cabinets,N7999
"CARMEUSE LIME INC,  RIVER ROUGE OPERATION",B2169,MAJOR,"25  Marion Ave, River Rouge, MI 48218",42.2773542,-83.1276429,"[-83.1276429,42.2773542]",1,0.0,0.0,0.0,0.0,0.0,1.0,Feature,Point,2,Major Source,#FF0037,2023-07-27,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/B2169/B2169_VN_20230727.pdf' target='_blank'>July 27, 2023</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>The company has not installed, maintained, calibrated and operated a continuous opacity monitoring system (COMS) for the lime kilns, as required by Subpart AAAAA.</li></ul></p><br>","Carmeuse Lime Inc,  River Rouge Operation",B2169
CENTURY FOUNDRY INC,N7027,MINOR,"339 W Hovey, Muskegon Hts, MI 49444",43.2084643,-86.25420070000001,"[-86.25420070000001,43.2084643]",1,0.0,0.0,0.0,0.0,0.0,1.0,Feature,Point,4,True Minor Source,#FFBD00,2023-07-21,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/N7027/N7027_VN_20230721.pdf' target='_blank'>July 21, 2023</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Exceedance of the permitted PM, PM10 and PM2.5 emission rates.</li><li>Failure to maintain the EU- SHOTBLAST baghouse with a pressure drop gauge.</li><li>Operation of EU- GRINDING without the required baghouse control.</li></ul></p><br>",Century Foundry Inc,N7027
CENTURY FOUNDRY,N7714,MINOR,"2524 Park St, Muskegon Hts, MI 49444",43.2060488,-86.2540423,"[-86.2540423,43.2060488]",2,0.0,0.0,0.0,0.0,0.0,2.0,Feature,Point,4,True Minor Source,#FFBD00,2023-07-21,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/N7714/N7714_VN_20230721.pdf' target='_blank'>July 21, 2023</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Exceedances of the permitted PM10 and PM2.5 emission rates.</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/N7714/N7714_VN_20230418.pdf' target='_blank'>April 18, 2023</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Nuisance Odors</li></ul></p><br>",Century Foundry,N7714
HOLCIM (US) INC. DBA LAFARGE ALPENA PLANT,B1477,MAJOR,"1435  Ford Avenue, Alpena, MI 49707",45.0722957,-83.40646629999999,"[-83.40646629999999,45.0722957]",12,2.0,3.0,2.0,1.0,2.0,2.0,Feature,Point,2,Major Source,#FF0037,2023-07-20,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/B1477/B1477_VN_20230720.pdf' target='_blank'>July 20, 2023</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Fallout of fugitive Calcite originating from Holcim (US) Inc.’s quarry operation.</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/B1477/B1477_VN_20230221.pdf' target='_blank'>February 21, 2023</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>An error occured with this PDF. Please reach out to <a class='article' href='https://www.michigan.gov/egle/about/organization/public-information' target='_blank'>EGLE's public information office.</a></li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/B1477/B1477_VN_20221207.pdf' target='_blank'>December 7, 2022</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Excess monitoring system downtime for 2nd and 3rd quarters of 2022</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/B1477/B1477_VN_20221003.pdf' target='_blank'>October 3, 2022</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Total Hydrocarbon (THC) Continuous Emission Monitoring System (CEMS) downtime was 308 hours for quarter one and 172 hours for quarter two.</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/B1477/B1477_VN_20210604.pdf' target='_blank'>June 4, 2021</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Operation of FG CLINKER SYS while a dust collector is not operating in a satisfactory manner</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/B1477/B1477_VN_20200630.pdf' target='_blank'>June 30, 2020</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Excess HCL emissions reported for 33.11% of source operating time attributed to failure of the DAA system.</li><li>Excess PM emissions reported for 74.95% of source operating time attributed to failure of baghouse integrity resulting in excess PM emissions as determined through stack testing on February 13, 2020 and March 4, 2020.</li><li>Excess PM emissions reported for 13.50% of source operating time attributed to unknown causes.</li><li>Failure to continuously monitor Hydrochloric Acid emissions. Monitor downtime was calculated to be 72.52% of total source operating time during the first quarter of 2020. A successful SO2 parametric monitoring test was not completed until March 5, 2020 and the HCl channel was not active during this time.</li><li>Failure to continuously monitor Particulate Matter emissions. Monitor downtime was reported to be 17.80% of total source operating time during the first quarter of 2020.</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/B1477/B1477_VN_20200330.pdf' target='_blank'>March 30, 2020</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Hydrochloric Acid emissions in excess of the applicable standard were reported for 19.94% of total source operating time during the fourth quarter of 2019.</li><li>Failure to continuously monitor Hydrochloric Acid emissions. Monitor downtime was calculated to be 27.15% of total source operating time during the fourth quarter of 2019.</li><li>Failure to continuously monitor Total Hydrocarbon emissions. Monitor downtime was reported to be 10.30% of total source operating time during the fourth quarter of 2019.</li><li>Failure to continuously monitor Particulate Matter emissions. Monitor downtime was reported to be 12.61% of total source operating time during the fourth quarter of 2019.</li><li>Failure to continuously monitor Visible Emissions. Monitor downtime was reported to be 14.85% of total source operating time during the fourth quarter of 2019.</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/B1477/B1477_VN_20191125.pdf' target='_blank'>November 25, 2019</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Operation of FG CLINKER SYS while a dust collector is not operating in a satisfactorv manner.</li><li>Operation of FG FINISH MILLS while a dust collector is not operating in a satisfactory manner, and failing to conduct daily Method 22 VE readings as required by the Operations and Maintenance Plan.</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/B1477/B1477_VN_20190603.pdf' target='_blank'>June 3, 2019</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Failure to continuously monitor.</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/B1477/B1477_VN_20190430.pdf' target='_blank'>April 30, 2019</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Exceedence of carbon monoxide emission limit</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/B1477/B1477_VN_20180502.pdf' target='_blank'>May 2, 2018</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Failure to continuously monitor.</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/B1477/B1477_VN_20180406.pdf' target='_blank'>April 6, 2018</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>At this time, the AQD has not received Lafarge Alpena's semi-annual monitoring and deviation report for July 1 - December 30, 2017 and the annual compliance certification for 2017, which was required to be postmarked or received by the AQD district office by March 15, 2018.</li></ul></p><br>",Holcim ((US)) Inc. DBA Lafarge Alpena Plant,B1477
INTERTAPE POLYMER GROUP,A6220,MAJOR,"317   Kendall Avenue, Marysville, MI 48040",42.8842267,-82.4807931,"[-82.4807931,42.8842267]",3,0.0,2.0,0.0,0.0,0.0,1.0,Feature,Point,2,Major Source,#FF0037,2023-07-18,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/A6220/A6220_VN_20230718.pdf' target='_blank'>July 18, 2023</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>EUBLDG41BOILER is an existing boiler located at a major source of HAP emissions and is subject to NESHAP 5D. IPG's compliance date for this NESHAP was no later than January 31, 2016. IPG operated this boiler until 2019, but did not comply with NESHAP 5D requirements such as initial notification, notification of compliance status, two-year tune up, initial energy assessment, etc.</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/A6220/A6220_VN_20190723.pdf' target='_blank'>July 23, 2019</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>The application received by this office on July 12, 2019, which was the last day of the submittal deadline pursuant to Rule 210(9), was not administratively complete and hence not timely. As a result, this facility has failed to obtain an application shield. Operation of the process or process equipment without the benefit of the application shield constitutes a violation of Rule 210(1).</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/A6220/A6220_VN_20190703.pdf' target='_blank'>July 3, 2019</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>IPG failed to notify EGLE regarding the applicability in a timely manner and show compliance with the requirements of this NESHAP.</li></ul></p><br>",Intertape Polymer Group,A6220
