date,vns_found,comments_found,comments_flagged,empty_pdfs,unparsable_pdfs,table_errors
7/31/23,1468,1290.0,63.0,16.0,3.0,165.0
8/1/23,0,0.0,0.0,0.0,0.0,0.0
8/2/23,4,4.0,0.0,0.0,0.0,0.0
8/9/2023,5,4.0,0.0,0.0,0.0,1.0
8/10/2023,2,2.0,0.0,0.0,0.0,0.0
8/12/2023,0,,,,,
8/13/2023,0,,,,,
8/14/2023,0,,,,,
8/15/2023,1,1.0,0.0,0.0,0.0,0.0
8/16/2023,0,,,,,
8/17/2023,1,1.0,0.0,0.0,0.0,0.0
8/18/2023,1,1.0,0.0,0.0,0.0,0.0
8/19/2023,0,,,,,
8/20/2023,0,,,,,
8/21/2023,0,,,,,
8/22/2023,0,,,,,
8/23/2023,2,2.0,0.0,0.0,0.0,0.0
8/24/2023,0,,,,,
8/25/2023,0,,,,,
8/26/2023,1,0.0,0.0,1.0,0.0,0.0
8/27/2023,0,,,,,
8/28/2023,0,,,,,
8/29/2023,1,1.0,0.0,0.0,0.0,0.0
8/30/2023,0,,,,,
8/31/2023,3,3.0,0.0,0.0,0.0,0.0
9/1/2023,2,2.0,0.0,0.0,0.0,0.0
9/2/2023,1,1.0,0.0,0.0,0.0,0.0
9/3/2023,0,,,,,
9/4/2023,0,,,,,
9/5/2023,0,,,,,
9/6/2023,0,,,,,
9/7/2023,0,,,,,
9/8/2023,3,3.0,0.0,0.0,0.0,0.0
9/9/2023,0,,,,,
9/10/2023,0,,,,,
9/11/2023,0,,,,,
9/12/2023,3,3.0,0.0,0.0,0.0,0.0
